Précipitations (mm),Valeur (en m),discharge
0.0,2.44,
0.0,2.42,
0.0,2.44,
0.0,2.42,
0.0,2.41,
0.0,2.42,
0.0,2.40,
0.0,2.42,
0.0,2.40,
0.0,2.39,
0.0,2.40,
0.0,2.38,
0.0,2.38,
0.0,2.38,
0.0,2.39,
0.0,2.39,
0.0,2.42,
0.0,2.42,
0.0,2.42,
0.0,2.41,
0.0,2.43,
0.0,2.40,
0.0,2.40,
0.0,2.39,
0.0,2.38,
0.0,2.39,
0.0,2.37,
0.0,2.37,
0.0,2.36,
0.0,2.36,
0.0,2.37,
0.0,2.35,
0.0,2.37,
0.1,2.38,
0.0,2.39,
0.0,2.39,
0.0,2.40,
0.0,2.40,
0.0,2.38,
0.0,2.38,
0.0,2.39,
0.0,2.36,
0.0,2.38,
0.0,2.36,
0.0,2.34,
0.0,2.33,
0.0,2.35,
0.0,2.45,
0.0,2.41,
0.0,2.42,
0.0,2.36,
0.0,2.34,
0.0,2.30,
0.0,2.30,
2.3,2.29,
0.4,2.29,
0.4,2.31,
1.0,2.31,
1.1,2.29,
0.4,2.30,
0.5,2.36,
0.0,2.45,
0.0,2.41,
0.0,2.39,
0.0,2.32,
0.0,2.32,
0.0,2.33,
0.0,2.42,
0.0,2.48,
0.0,2.47,
0.0,2.44,
0.0,2.39,
0.0,2.39,
0.4,2.33,
0.6,2.34,
0.3,2.31,
0.1,2.32,
0.0,2.34,
0.0,2.46,
0.0,2.42,
0.0,2.35,
0.1,2.31,
0.1,2.55,
0.1,2.77,
0.0,2.74,
0.0,2.57,
0.0,2.39,
0.0,2.26,
0.0,2.28,
0.0,2.31,
0.0,2.29,
0.0,2.30,
0.0,2.31,
0.0,2.31,
0.0,2.45,
0.0,2.70,
0.0,2.69,
0.0,2.34,
0.0,2.36,
0.0,2.34,
0.0,2.34,
0.0,2.33,
0.0,2.35,
0.0,2.33,
0.0,2.47,
0.0,2.73,
0.0,2.98,
0.0,2.87,
0.0,2.71,
0.0,2.54,
0.0,2.33,
0.0,2.37,
0.0,2.37,
0.0,2.35,
0.0,2.36,
0.0,2.35,
0.0,2.64,
0.0,2.94,
0.0,2.98,
0.0,2.78,
0.0,2.63,
0.0,2.35,
0.0,2.36,
0.0,2.36,
0.0,2.35,
0.0,2.34,
0.0,2.35,
0.0,2.60,
0.0,2.91,
0.0,3.07,
0.0,2.89,
0.0,2.75,
0.0,2.58,
0.0,2.39,
0.0,2.42,
0.0,2.38,
0.0,2.39,
0.0,2.39,
0.0,2.38,
0.0,2.40,
0.0,2.76,
0.0,3.05,
0.0,3.03,
0.0,2.82,
0.0,2.66,
0.0,2.49,
0.0,2.32,
0.0,2.38,
0.0,2.40,
0.0,2.40,
0.0,2.38,
0.0,2.37,
0.0,2.75,
0.0,3.02,
0.0,3.10,
0.0,2.90,
0.0,2.75,
0.0,2.58,
0.0,2.42,
0.0,2.41,
0.0,2.38,
0.0,2.39,
0.0,2.37,
0.0,2.38,
0.0,2.57,
0.0,2.87,
0.0,3.05,
0.0,2.89,
0.0,2.73,
0.0,2.59,
0.0,2.40,
0.0,2.37,
0.0,2.36,
0.0,2.38,
0.0,2.36,
0.0,2.36,
0.0,2.41,
0.0,2.75,
0.0,3.04,
0.0,3.02,
0.0,2.83,
0.0,2.67,
0.0,2.49,
0.0,2.31,
0.0,2.36,
0.0,2.37,
0.0,2.35,
0.0,2.36,
0.0,2.35,
0.0,2.94,
0.0,2.97,
0.0,2.82,
0.0,2.67,
0.0,2.50,
0.0,2.32,
0.0,2.37,
0.0,2.38,
0.0,2.35,
0.0,2.34,
0.0,2.33,
0.0,2.55,
0.0,2.81,
0.0,2.79,
0.0,2.67,
0.0,2.52,
0.0,2.33,
0.0,2.33,
0.3,2.33,
0.1,2.33,
0.0,2.32,
0.2,2.32,
0.4,2.36,
0.3,2.69,
0.2,2.92,
0.2,2.83,
0.0,2.70,
0.0,2.53,
0.2,2.37,
0.6,2.31,
0.9,2.30,
0.4,2.34,
0.1,2.33,
0.2,2.35,
0.1,2.33,
0.0,2.60,
0.3,2.83,
1.0,2.72,
1.1,2.59,
1.5,2.44,
0.6,2.28,
0.5,2.14,
1.5,2.23,
1.3,2.31,
0.9,2.32,
0.1,2.33,
0.0,2.33,
0.5,2.52,
0.5,2.78,
0.8,2.88,
0.1,2.69,
0.0,2.52,
0.0,2.37,
0.0,2.25,
0.0,2.33,
0.0,2.40,
0.1,2.40,
0.0,2.42,
0.0,2.44,
0.0,2.46,
0.0,2.51,
0.1,2.52,
0.0,2.52,
0.0,2.47,
0.0,2.42,
0.0,2.40,
0.0,2.37,
0.0,2.33,
0.0,2.31,
0.0,2.31,
0.0,2.30,
0.0,2.32,
0.0,2.41,
0.0,2.46,
0.1,2.41,
0.3,2.38,
0.0,2.39,
0.0,2.35,
0.0,2.36,
0.0,2.35,
1.3,2.34,
0.0,2.34,
0.0,2.33,
0.0,2.34,
0.0,2.35,
0.0,2.35,
0.0,2.35,
0.0,2.35,
0.0,2.33,
0.1,2.33,
0.5,2.33,
0.1,2.32,
0.0,2.34,
0.0,2.31,
0.0,2.32,
0.1,2.32,
0.1,2.36,
1.0,2.40,
0.8,2.43,
0.7,2.43,
0.9,2.42,
0.1,2.47,
0.2,2.45,
0.1,2.44,
0.1,2.43,
0.1,2.41,
0.0,2.40,
0.0,2.41,
0.0,2.40,
0.0,2.40,
0.0,2.40,
0.0,2.39,
0.0,2.39,
0.0,2.39,
0.1,2.37,
0.2,2.38,
0.2,2.39,
0.1,2.38,
0.1,2.37,
0.1,2.36,
0.1,2.38,
0.1,2.37,
0.1,2.38,
0.0,2.40,
0.1,2.37,
0.2,2.38,
0.0,2.39,
0.0,2.39,
0.0,2.41,
0.0,2.41,
0.0,2.39,
0.0,2.41,
0.0,2.40,
0.0,2.41,
0.0,2.40,
0.0,2.41,
0.0,2.40,
0.0,2.41,
0.0,2.41,
0.0,2.41,
0.0,2.40,
0.4,2.40,
1.3,2.41,
3.1,2.43,
1.2,2.43,
1.4,2.44,
1.0,2.46,
0.9,2.47,
0.8,2.48,
1.2,2.51,
0.8,2.51,
1.2,2.55,
0.5,2.55,
1.1,2.54,
0.5,2.53,
0.1,2.52,
0.1,2.53,
0.0,2.53,
0.0,2.55,
0.1,2.54,
0.1,2.56,
0.2,2.54,
0.1,2.62,
